catalogNumber,createdBy,placeName,flagNotes,createdOn,associatedMedia,locationLat,locationLon,fromDate,rank,scientificName,commonName,state,district,observedInMonth
15035495,Sneha,"Unnamed Road, Andaman and Nicobar Islands 744302, India",,03/06/2020,/63b54836-8eb1-492b-a081-3149eba1c898/5130.jpg,7.002805031,93.93281806,09/09/2019,species,Danaus chrysippus Linnaeus 1758,,ANDAMAN & NICOBAR,Nicobars,September
15035490,Sneha,"Unnamed Road, Andaman and Nicobar Islands 744302, India",,03/06/2020,/489bdaa3-5357-43f3-ba45-c7ca4ee09d11/5128.jpg,7.003141,93.93437489,09/09/2019,family,Nymphalidae,,ANDAMAN & NICOBAR,Nicobars,September
15890550,JEBITTA M SHIRLIN,"Weavers Colony, Nagercoil, Tamil Nadu, India",,28/09/2020,/da69274c-67ae-4b4e-9fb1-a24fb0b7b0b2/31316.JPG,8.1799273,77.4085149,15/09/2020,species,Euploea core Cramer 1780,Common Crow:English,TAMILNADU,Kanniyakumari,September
15890542,JEBITTA M SHIRLIN,"Weavers Colony, Nagercoil, Tamil Nadu 629001, India",,28/09/2020,/499a866b-f25a-45a3-a3fb-9b1f1a76d94e/31315.JPG,8.182606,77.406287,15/09/2020,species,Tirumala limniace (Cramer 1775),Blue Tiger:English,TAMILNADU,Kanniyakumari,September
15890537,JEBITTA M SHIRLIN,"Weavers Colony, Nagercoil, Tamil Nadu 629001, India",,28/09/2020,/ffa5f81b-2bd9-40dc-abb1-149602196a27/31314.JPG,8.182606,77.406287,15/09/2020,species,Catopsilia pomona (Fabricius 1775),Common Emigrant:English,TAMILNADU,Kanniyakumari,September
15861415,JEBITTA M SHIRLIN,"Weavers Colony, Nagercoil, Tamil Nadu 629001, India",,26/09/2020,/2e73ad3a-c21e-4278-9d0a-1164ed742a9c/30183.jpg,8.182606,77.406287,25/09/2020,species,Danaus chrysippus Linnaeus 1758,Plain Tiger:English,TAMILNADU,Kanniyakumari,September
1472872,admin,,,09/03/2016,,8.42449,77.09817,29/09/2013,species,Castalius rosimon (Fabricius 1775),,KERALA,Thiruvananthapuram,September
1472871,admin,,,09/03/2016,,8.42449,77.09817,29/09/2013,species,Graphium agamemnon (Linnaeus 1758),,KERALA,Thiruvananthapuram,September
1472873,admin,,,09/03/2016,,8.42449,77.09817,29/09/2013,species,Talicada nyseus (Guérin-Méneville (1843)),,KERALA,Thiruvananthapuram,September
1659221,admin,,,09/03/2016,,8.42449,77.09817,29/09/2013,species,Papilio demoleus Linnaeus 1758,,KERALA,Thiruvananthapuram,September
1659220,admin,,,09/03/2016,,8.42449,77.09817,29/09/2013,species,Zizula hylax (Fabricius 1775),,KERALA,Thiruvananthapuram,September
345520,Chief RedEarth,"Aruvippuram, Kerala 695126, India",,20/05/2014,/0c2ffa4e-6649-4f28-afed-b13072aa14f2/568.jpg,8.42449379,77.09817505,29/09/2013,species,Hypolimnas bolina Linnaeus 1758,"Great Eggfly,blue Moon Butterfly:English",KERALA,Thiruvananthapuram,September
345514,Chief RedEarth,"Aruvippuram, Kerala 695126, India",,19/05/2014,/8b6c5b99-f2a6-4625-989c-3f4b96c6f543/57.jpg,8.42449379,77.09817505,29/09/2013,species,Papilio demoleus Linnaeus 1758,"Common Lime Butterfly, Lemon Butterfly, Lime Swallowtail, Small Citrus Butterfly, Chequered Swallowtail, Dingy Swallowtail, Citrus Swallowtail.:English",KERALA,Thiruvananthapuram,September
345510,Chief RedEarth,"Aruvippuram, Kerala 695126, India",,19/05/2014,/6937795a-45f5-4aef-a457-a1582fd5d6ee/777.jpg,8.42449379,77.09817505,29/09/2013,species,Talicada nyseus (Guérin-Méneville (1843)),Red Pierrot:English,KERALA,Thiruvananthapuram,September
345509,Chief RedEarth,"Aruvippuram, Kerala 695126, India",,19/05/2014,/9da792ab-9f79-41d3-a093-9feac0d7c1d6/922.jpg,8.42449379,77.09817505,29/09/2013,species,Castalius rosimon (Fabricius 1775),Common Pierrot:English,KERALA,Thiruvananthapuram,September
345505,Chief RedEarth,"Aruvippuram, Kerala 695126, India",,19/05/2014,/1ad0f307-5ef1-4c73-9109-db906888df35/432.jpg,8.42449379,77.09817505,29/09/2013,species,Graphium agamemnon (Linnaeus 1758),"Tailed Jay, Green-spotted Triangle, Tailed Green Jay, Green Triangle:English",KERALA,Thiruvananthapuram,September
345502,Chief RedEarth,"Aruvippuram, Kerala 695126, India",,19/05/2014,/5785f9e1-31f7-4c25-87ca-22d7f7ca184f/825.jpg,8.42449379,77.09817505,29/09/2013,species,Jamides celeno (Cramer (1775)),"Common Cerulean:English | പൊട്ടുവാലാട്ടി, Common Cerulean:English",KERALA,Thiruvananthapuram,September
345482,Chief RedEarth,"Aruvippuram, Kerala 695126, India",,19/05/2014,/cd21c142-0cf1-4be2-8d7a-a81a3bdcc182/758.jpg,8.42449379,77.09817505,29/09/2013,species,Zizula hylax (Fabricius 1775),Tiny Grass Blue:English,KERALA,Thiruvananthapuram,September
345481,Chief RedEarth,"Aruvippuram, Kerala 695126, India",,18/05/2014,/b4a3ef05-0622-45c1-927b-176680949c82/429.jpg,8.42449379,77.09817505,29/09/2013,genus,Papilio,,KERALA,Thiruvananthapuram,September
340046,Chief RedEarth,"Agricultural College Road, Agricultural University Vellayani Campus, Thiruvananthapuram, Kerala 695522, India",,13/03/2014,/349afb68-5e4b-48ee-af43-027dd755a71d/411.jpg,8.434354782,76.9916687,27/09/2013,species,Acytolepis puspa (Horsfield 1828),Common Hedge Blue:English,KERALA,Thiruvananthapuram,September
1653121,admin,,,09/03/2016,,8.43436,76.99167,27/09/2013,species,Acytolepis puspa (Horsfield 1828),,KERALA,Thiruvananthapuram,September
354086,Chief RedEarth,Arippa,,13/09/2014,/af6a3307-41c8-496e-8f4e-0d6e04971ca2/498.JPG,8.452553749,76.97438812,11/09/2014,species,Pantoporia hordonia Stoll 1790,Common Lascar:English,KERALA,Thiruvananthapuram,September
354073,Chief RedEarth,Arippa,,12/09/2014,/a8e94445-f7a3-4ed3-9dd9-51d90a63789b/847.JPG,8.452553749,76.97438812,11/09/2014,species,Arhopala abseus (Hewitson 1862),Abberant Oakblue:English | Aberrant Oakblue:English,KERALA,Thiruvananthapuram,September
16954118,Rahul,"Punchakkari, Thiruvananthapuram, Kerala",,07/10/2021,/c96b828a-d7fc-40d7-a8c1-c1021257a71d/14b97b7e60814bbea7d2807494354d3a.jpg,8.4539149,76.9732927,27/09/2021,species,Spalgis epeus (Westwood (1851)),Apefly:English,KERALA,Thiruvananthapuram,September
15835654,Deepika,"Malayinkeezh, Kerala, India",,24/09/2020,/32a8ebc7-80b2-4d2d-a40e-0d35c81806b0/28362.jpg,8.4901672,77.0360513,23/09/2020,species,Ypthima huebneri Kirby 1871,Common Fourring:English,KERALA,Thiruvananthapuram,September
348580,CV Radhakrishnan,"River Valley, Malayinkeezh, Kerala, India",,20/07/2014,/77a9a82f-4511-4c95-a815-86c5b6568964/679.jpg,8.490167618,77.03604889,25/09/2010,species,Graphium sarpedon (Linnaeus 1758),Common Bluebottle:English,KERALA,Thiruvananthapuram,September
15811582,Aziya.S,"Kunnapuzha, Thiruvananthapuram, Kerala, India",,22/09/2020,/37ed9195-d4b9-43ec-adb2-0de06cfdda4b/26970.jpg,8.4912024,76.9963471,21/09/2020,species,Junonia iphita Cramer 1782,Chocolate Pansy:English,KERALA,Thiruvananthapuram,September
16699633,Felcia,"Nanguneri, Tamil Nadu",,11/09/2021,/df5e7799-a92c-4e8d-804b-81f70cf60986/55090e4a66c34fcab1fc35ad384bc1b4.jpg,8.4961056,77.6464534,10/09/2021,species,Neptis sappho Pallas 1771,,TAMILNADU,Tirunelveli,September
15708543,Athulya Raju,"Amboori, Kerala 695505, India",,18/09/2020,/6332ffe9-6d02-4f98-a2b7-2ea1798dc4c7/22659.jpg,8.5041213,77.1916497,17/09/2020,species,Papilio demoleus Linnaeus 1758,,KERALA,Thiruvananthapuram,September
16738407,Gopakumar VR Namboothiri,"Gowreesapattom, Pottakkuzhi, Thiruvananthapuram, Kerala 695033",,19/09/2021,/4030a867-6e3f-4c5d-b41b-9cd678f34bcc/087f2c4a89c84bf68f8c3912f1e857ec.JPG,8.5082958,76.9362182,18/09/2021,species,Jamides celeno (Cramer (1775)),Common Cerulean:English,KERALA,Thiruvananthapuram,September
16738389,Gopakumar VR Namboothiri,"Gowreesapattom, Pottakkuzhi, Thiruvananthapuram, Kerala 695033",,19/09/2021,/a069752e-0bdb-4a60-ba3e-7729489e3792/02497f82dbcf4022a8bc29d45070dcf4.JPG,8.5082958,76.9362182,18/09/2021,species,Spalgis epeus (Westwood (1851)),Apefly:English,KERALA,Thiruvananthapuram,September
16738371,Gopakumar VR Namboothiri,"Gowreesapattom, Pottakkuzhi, Thiruvananthapuram, Kerala 695033",,19/09/2021,/8dcfcef9-f55a-4727-a795-be12acc35c2c/13a5c9f2663c4c7b9a13862eb4cfd808.JPG,8.5082958,76.9362182,18/09/2021,species,Ypthima ceylonica Hewitson 1864,White Four:English,KERALA,Thiruvananthapuram,September
16738353,Gopakumar VR Namboothiri,"Gowreesapattom, Pottakkuzhi, Thiruvananthapuram, Kerala 695033",,19/09/2021,/f3997e57-ce0d-4ecd-a2c2-dbd88111d8aa/389f339a62be40649fe155f965bab23a.JPG,8.5082958,76.9362182,18/09/2021,species,Chilades pandava Horsfield 1829,Plains Cupid:English,KERALA,Thiruvananthapuram,September
16738313,Gopakumar VR Namboothiri,"Gowreesapattom, Pottakkuzhi, Thiruvananthapuram, Kerala 695033",,19/09/2021,/8c59f5c4-73b8-4ae2-ae9a-bf413781050f/c9ca892ea43944d5b2df457858169534.JPG,8.5082958,76.9362182,18/09/2021,species,Ypthima ceylonica Hewitson 1864,White Four:English,KERALA,Thiruvananthapuram,September
16738295,Gopakumar VR Namboothiri,"Gowreesapattom, Pottakkuzhi, Thiruvananthapuram, Kerala 695033",,19/09/2021,/90d93955-5ba1-46f2-88f9-d94e4a4cd490/9d32d69d1b4b48f4b2a74f712fa0824e.JPG,8.5082958,76.9362182,18/09/2021,species,Ypthima ceylonica Hewitson 1864,White Four:English,KERALA,Thiruvananthapuram,September
16738230,Gopakumar VR Namboothiri,"Gowreesapattom, Pottakkuzhi, Thiruvananthapuram, Kerala 695033",,19/09/2021,/67060411-f612-4b35-b0b5-b458639037f0/33ffff0a0eef4f9a8d9e6640f8757c71.JPG,8.5082958,76.9362182,18/09/2021,species,Ypthima ceylonica Hewitson 1864,White Four:English,KERALA,Thiruvananthapuram,September
16738195,Gopakumar VR Namboothiri,"Gowreesapattom, Pottakkuzhi, Thiruvananthapuram, Kerala 695033",,19/09/2021,/fc8f14ae-1476-4df6-bfb6-c57bdee3aa1a/868efd06e8144871834e265f788778b2.JPG,8.5082958,76.9362182,18/09/2021,species,Ypthima ceylonica Hewitson 1864,White Four:English,KERALA,Thiruvananthapuram,September
16738177,Gopakumar VR Namboothiri,"Gowreesapattom, Pottakkuzhi, Thiruvananthapuram, Kerala 695033",,19/09/2021,/08ec80ca-48b9-4b98-9344-115292e3f668/5ab5f4c57bdf4db09744907afcc1f1b7.JPG,8.5082958,76.9362182,18/09/2021,species,Zizula hylax (Fabricius 1775),Tiny Grass Blue:English,KERALA,Thiruvananthapuram,September
16738161,Gopakumar VR Namboothiri,"Gowreesapattom, Pottakkuzhi, Thiruvananthapuram, Kerala 695033",,19/09/2021,/0203edaa-210d-4a51-9c18-61f22d5b8ccc/e4f1e0b9cf004929a17e2bf2206abf5b.JPG,8.5082958,76.9362182,18/09/2021,species,Chilasa clytia (Linnaeus 1758),Common Mime:English,KERALA,Thiruvananthapuram,September
16738141,Gopakumar VR Namboothiri,"Gowreesapattom, Pottakkuzhi, Thiruvananthapuram, Kerala 695033",,19/09/2021,/ed194be0-e31a-42c1-81c2-11c5fd19393f/4c6baff834634b5b863ce423ec07d586.JPG,8.5082958,76.9362182,18/09/2021,species,Ypthima ceylonica Hewitson 1864,White Four:English,KERALA,Thiruvananthapuram,September
16738123,Gopakumar VR Namboothiri,"Gowreesapattom, Pottakkuzhi, Thiruvananthapuram, Kerala 695033",,19/09/2021,/0dda9709-3a01-4687-945c-adf6b7f0bc23/85243236819b457990ad1517be3ab110.JPG,8.5082958,76.9362182,18/09/2021,species,Arhopala centaurus (Fabricius 1775),Centaur Oakblue:English,KERALA,Thiruvananthapuram,September
16738105,Gopakumar VR Namboothiri,"Gowreesapattom, Pottakkuzhi, Thiruvananthapuram, Kerala 695033",,19/09/2021,/57d8d12f-4ed3-4720-9244-4cbc446f4f7a/a40095c6046748428ff3ca45850024ca.JPG,8.5082958,76.9362182,18/09/2021,species,Junonia almana Linnaeus 1758,Peacock Pansy:English,KERALA,Thiruvananthapuram,September
16703795,Gopakumar VR Namboothiri,"Gowreesapattom, Pottakkuzhi, Thiruvananthapuram, Kerala 695033",,13/09/2021,/4009b94e-2465-4afc-af93-87c1144249db/05eb0f2191f840c7b128a7781b30f845.JPG,8.5082958,76.9362182,11/09/2021,species,Appias libythea (Fabricius 1775),,KERALA,Thiruvananthapuram,September
16703777,Gopakumar VR Namboothiri,"Gowreesapattom, Pottakkuzhi, Thiruvananthapuram, Kerala 695033",,13/09/2021,/52b2702c-4281-4dad-8a67-17e337ed4509/cdfabc8cc29840709d5d313430f68457.JPG,8.5082958,76.9362182,11/09/2021,species,Zizeeria karsandra (Moore 1865),Dark Grass Blue:English,KERALA,Thiruvananthapuram,September
16703759,Gopakumar VR Namboothiri,"Gowreesapattom, Pottakkuzhi, Thiruvananthapuram, Kerala 695033",,13/09/2021,/6bea6747-d874-4406-8b3b-5bfeb7bb94c1/6dc7ee9b525c4bcfad0e86b062682a87.JPG,8.5082958,76.9362182,11/09/2021,species,Chilades pandava Horsfield 1829,Plains Cupid:English,KERALA,Thiruvananthapuram,September
16703743,Gopakumar VR Namboothiri,"Gowreesapattom, Pottakkuzhi, Thiruvananthapuram, Kerala 695033",,13/09/2021,/9a04de59-5493-46cf-beac-b2be12a8277f/7eaf64a4d00d403581eafe4e2d870dcb.JPG,8.5082958,76.9362182,11/09/2021,species,Chilades lajus,Lime Blue:English,KERALA,Thiruvananthapuram,September
16703725,Gopakumar VR Namboothiri,"Gowreesapattom, Pottakkuzhi, Thiruvananthapuram, Kerala 695033",,13/09/2021,/026511e5-7596-4394-a062-3c2788745a9c/4a1b589f3f834b98a5e20b8f46836876.JPG,8.5082958,76.9362182,11/09/2021,species,Zizula hylax (Fabricius 1775),Tiny Grass Blue:English,KERALA,Thiruvananthapuram,September
16703707,Gopakumar VR Namboothiri,"Gowreesapattom, Pottakkuzhi, Thiruvananthapuram, Kerala 695033",,13/09/2021,/78a7ead5-42b5-4050-82d5-78a4405a42de/4663c146b12b4f518a423102a2db9235.JPG,8.5082958,76.9362182,11/09/2021,species,Leptosia nina (Fabricius 1793),Psyche:English,KERALA,Thiruvananthapuram,September
1828915,Chief RedEarth,"Museum Bus Stop, LMS Vellayambalam Rd, Kanaka Nagar, Palayam, Thiruvananthapuram, Kerala 695033, India",,06/09/2019,/1efd6c2b-2403-4ec0-a600-8ba06973ec10/977.jpg,8.508610725,76.95444489,06/09/2019,species,Arhopala centaurus (Fabricius 1775),Centaur Oakblue:English,KERALA,Thiruvananthapuram,September
16758584,Kripa Ann Thomas,"Nanthancodu, Thiruvananthapuram, Kerala",,25/09/2021,/3f3a9f89-65aa-4e2f-96c3-3dc7bc9d1078/9c41ddfcc3844a4d96044fba88e53452.jpg,8.5142022,76.9562828,23/09/2021,species,Ypthima baldus Fabricius 1775,common five-ring butterfly:English,KERALA,Thiruvananthapuram,September
16758548,Kripa Ann Thomas,"Nanthancodu, Thiruvananthapuram, Kerala",,25/09/2021,/e8083009-c065-4819-9412-911755b541d6/ad4c3dd0f9334d11950ae6a1967c4208.jpg,8.5142022,76.9562828,24/09/2021,species,Leptosia nina (Fabricius 1793),Psyche:English,KERALA,Thiruvananthapuram,September
16757962,Kripa Ann Thomas,"Nanthancodu, Thiruvananthapuram, Kerala",,25/09/2021,/86f1b302-6407-4149-af4b-a11044d4b786/c7ea8c51fc9246dfa07b4bb826a5c56e.jpg,8.5142022,76.9562828,18/09/2021,species,Eurema blanda (Boisduval 1836),Three Spot Grass Yellow:English,KERALA,Thiruvananthapuram,September
15518083,mahesh c,"Thiruvananthapuram, Kerala, India",,09/09/2020,/fabf7ff5-8d86-46f0-9944-581467681d22/16564.jpg,8.5241391,76.9366376,08/09/2020,species,Papilio polytes Linnaeus 1758,,KERALA,Thiruvananthapuram,September
15830957,Abhirami R S,"Vattiyoorkkav Puliyarakkonam Rd, Vellaikadavu, Kerala 695573, India",,24/09/2020,/5b553daf-09a9-46cc-a9ac-217c95863213/28076.jpg,8.533148978,77.01123654,14/09/2020,species,Junonia iphita Cramer 1782,Chocolate Pansy:English,KERALA,Thiruvananthapuram,September
1829712,Chief RedEarth,,,26/09/2019,v,8.543611526,76.97083282,21/09/2019,species,Euthalia aconthea Cramer 1779,Common Baron:null,KERALA,Thiruvananthapuram,September
15676124,Lekshmy,"Sreekariyam, Thiruvananthapuram, Kerala, India",,17/09/2020,/c1ad1731-48b2-464c-b15b-f2c78e793567/21585.jpg,8.5467708,76.9163841,16/09/2020,species,Catopsilia pomona (Fabricius 1775),Common Emigrant:English,KERALA,Thiruvananthapuram,September
15953732,Chief RedEarth,"Vazhayila, Peroorkada, Thiruvananthapuram, Kerala 695005, India",,03/10/2020,/422c05ca-3324-433b-9a5c-3c823aeee53c/36053.jpg,8.547445,76.9738079,22/09/2020,species,Graphium doson (Felder & Felder 1864),,KERALA,Thiruvananthapuram,September
1576025,admin,,,09/03/2016,,8.5493,76.97727,11/09/2013,species,Papilio polytes Linnaeus 1758,,KERALA,Thiruvananthapuram,September
1576027,admin,,,09/03/2016,,8.5493,76.97727,11/09/2013,species,Papilio polytes Linnaeus 1758,,KERALA,Thiruvananthapuram,September
17818763,Chief RedEarth,"Vazhayila, Thiruvananthapuram, Kerala",,26/10/2022,/4a624a10-6091-47c6-9245-03f83e3ff958/86301ce4cb6b4fcca1e47b6d8742beb7.jpg,8.5493036,76.9772675,29/09/2022,species,Zizula hylax (Fabricius 1775),ചിന്നപ്പുൽനീലി:English,KERALA,Thiruvananthapuram,September
1829714,Chief RedEarth,"Vazhayila, Thiruvananthapuram, Kerala, India",,26/09/2019,/a76b9314-ff66-4d68-9c31-738bf382e244/145.jpg,8.549304008,76.9772644,22/09/2019,species,Papilio polymnestor Cramer (1775),Blue Mormon:null,KERALA,Thiruvananthapuram,September
330230,Chief RedEarth,"Sub Road, Vazhayila, Thiruvananthapuram, Kerala 695043, India",,30/09/2013,/618cdd15-5afc-4b86-8341-a35b54cc64fe/743.jpg,8.549304008,76.9772644,11/09/2013,species,Papilio polytes Linnaeus 1758,Common Mormon:English,KERALA,Thiruvananthapuram,September
330228,Chief RedEarth,"Sub Road, Vazhayila, Thiruvananthapuram, Kerala 695043, India",,30/09/2013,/5359d5de-1498-441d-8dfb-c545a6eee7a7/838.jpg,8.549304008,76.9772644,11/09/2013,species,Papilio polytes Linnaeus 1758,Common Mormon:English,KERALA,Thiruvananthapuram,September
329465,Chief RedEarth,"Thiruvananthapuram-Ponmudi Road, Vazhayila, Thiruvananthapuram, Kerala 695043, India-",,19/09/2013,/48a084ec-a6a0-4481-bb8a-e640ccae2141/871.JPG,8.549448013,76.97381592,10/09/2012,species,Jamides celeno (Cramer (1775)),Common Cerulean:English,KERALA,Thiruvananthapuram,September
329343,Chief RedEarth,"Thiruvananthapuram-Ponmudi Road, Vazhayila, Thiruvananthapuram, Kerala 695043, India",,18/09/2013,/e869b5c6-1753-434a-a189-927a3ed46c57/292.JPG,8.549448013,76.97381592,08/09/2012,species,Leptosia nina (Fabricius 1793),Psyche:English,KERALA,Thiruvananthapuram,September
329341,Chief RedEarth,"Thiruvananthapuram-Ponmudi Road, Vazhayila, Thiruvananthapuram, Kerala 695043, India",,18/09/2013,/746ed38d-355e-49db-aa2d-77c7c51872fd/690.JPG,8.549448013,76.97381592,08/09/2012,species,Tirumala septentrionis,Dark Blue Tiger:English,KERALA,Thiruvananthapuram,September
15958380,Chief RedEarth,"Aramkallu, Thiruvananthapuram, Kerala 695043, India",,04/10/2020,/d1e48891-da7f-4cd7-a296-ea0310927861/36255.jpg,8.5527869,76.9760074,22/09/2020,species,Papilio polytes Linnaeus 1758,,KERALA,Thiruvananthapuram,September
15835457,Chief RedEarth,"Aramkallu, Thiruvananthapuram, Kerala 695043, India",,24/09/2020,/1fbe844c-4a38-46cf-8207-d66825a314d2/28341.jpg,8.5527869,76.9760074,09/09/2020,species,Hypolimnas bolina Linnaeus 1758,,KERALA,Thiruvananthapuram,September
15613344,Chief RedEarth,"Thiruvananthapuram - Ponmudi Rd, Thiruvananthapuram, Kerala 695043, India",,16/09/2020,/7c4a4dea-37f4-4b7c-b40d-7621a0026bff/19711.jpg,8.5551,76.97669997,01/09/2020,species,Catopsilia pyranthe (Linnaeus 1758),,KERALA,Thiruvananthapuram,September
354267,Bibin C Alex,"Gandhipuram Road, Pangappara, Thiruvananthapuram, Kerala 695581, India",,16/09/2014,/84a21500-4bd8-41ea-a27d-c03f33bfb701/380.jpg,8.561500549,76.90481567,16/09/2014,species,Euthalia aconthea Cramer 1779,Common Baron:English,KERALA,Thiruvananthapuram,September
15959912,Chief RedEarth,"Karakulam, Thiruvananthapuram, Kerala, India",,04/10/2020,/9802dbfd-4202-4099-a943-a3bd35c7966f/36402.jpg,8.5672096,76.9902276,25/09/2020,species,Catopsilia pyranthe (Linnaeus 1758),,KERALA,Thiruvananthapuram,September
15818598,Lekshmy,"Aniyoor Temple Pond,, Chempazhanthy, Thiruvananthapuram, Kerala 695587, India",,23/09/2020,/dc724265-c227-4542-9fc5-a2a4d63cc658/27310.jpg,8.56876175,76.90632422,22/09/2020,species,Junonia iphita Cramer 1782,Chocolate Pansy:English,KERALA,Thiruvananthapuram,September
15818551,Lekshmy,"Aniyoor Temple Pond,, Chempazhanthy, Thiruvananthapuram, Kerala 695587, India",,23/09/2020,/35cabbc0-84c1-4aad-bbc3-4b2b973fe1da/27307.jpg,8.56877025,76.9063535,22/09/2020,species,Catopsilia pomona (Fabricius 1775),Common Emigrant:English,KERALA,Thiruvananthapuram,September
15867768,Lekshmy,"Chempazhanthy, Thiruvananthapuram, Kerala 695587, India",,27/09/2020,/d8966da7-6921-4077-9a66-6e3c0d6ec137/30366.jpg,8.5688833,76.9113658,26/09/2020,species,Ypthima baldus Fabricius 1775,Common Five Ring:English,KERALA,Thiruvananthapuram,September
15807779,Lekshmy,"Chempazhanthy, Thiruvananthapuram, Kerala 695587, India",,22/09/2020,/7b30dcb5-dc23-4324-9dff-c250ff97a821/26698.jpg,8.5688833,76.9113658,21/09/2020,species,Junonia atlites Linnaeus 1763,Grey Pansy:English,KERALA,Thiruvananthapuram,September
15915158,Amina M T,"Nedumangad, Kerala, India",,30/09/2020,/f9b5c94a-bd61-4418-99bf-2ebfbd0195ae/32841.jpg,8.6080226,77.004626,14/09/2020,species,Tanaecia lepidea Butler 1868,Grey Count:English,KERALA,Thiruvananthapuram,September
16948197,sruthy krishnan G,"Murukkumpuzha Junction, Thoppumukku, Veiloor, Kerala 695302",,03/10/2021,/2964c690-faf1-4491-9293-413e97cfb2fe/b64af0f86ef94d45bd99fffecbcb6ea8.jpg,8.6123263,76.8341088,09/09/2021,genus,Ypthima,,KERALA,Thiruvananthapuram,September
16948179,sruthy krishnan G,"Murukkumpuzha Junction, Thoppumukku, Veiloor, Kerala 695302",,03/10/2021,/559c767d-fd1a-4e23-989b-b7a3e7321d20/66a6e1e660944c049433a29107f3bf21.jpg,8.6123263,76.8341088,09/09/2021,species,Neopithecops zalmora (Butler (1870)),Common Quaker:English,KERALA,Thiruvananthapuram,September
16948173,sruthy krishnan G,"Murukkumpuzha Junction, Thoppumukku, Veiloor, Kerala 695302",,03/10/2021,/44014d00-600f-47b0-97f1-718eed7bd13d/1ab6423c2cec442ab3dd7f08d0a23678.jpg,8.6123263,76.8341088,09/09/2021,species,Tanaecia lepidea Butler 1868,Grey Count:English,KERALA,Thiruvananthapuram,September
16948167,sruthy krishnan G,"Murukkumpuzha Junction, Thoppumukku, Veiloor, Kerala 695302",,03/10/2021,/f74b7a79-8a9f-4643-9229-09ae7b8386d3/9eb49c521848495097890a1ae5b2428b.jpg,8.6123263,76.8341088,09/09/2021,genus,Neptis,,KERALA,Thiruvananthapuram,September
16948161,sruthy krishnan G,"Murukkumpuzha Junction, Thoppumukku, Veiloor, Kerala 695302",,03/10/2021,/3c5733fd-4938-4fc8-ac14-4b6dc36e96c7/16ad8ab02a95468cab0440443a264ed9.jpg,8.6123263,76.8341088,10/09/2021,species,Junonia atlites Linnaeus 1763,Grey Pansy:English,KERALA,Thiruvananthapuram,September
16948155,sruthy krishnan G,"Murukkumpuzha Junction, Thoppumukku, Veiloor, Kerala 695302",,03/10/2021,/bf35024a-2e60-4ed4-bc68-9fc70f533341/47785b20acce4f66a04dd9905083c98b.jpg,8.6123263,76.8341088,25/09/2021,species,Pseudozizeeria maha (Kollar (1844)),,KERALA,Thiruvananthapuram,September
16948149,sruthy krishnan G,"Murukkumpuzha Junction, Thoppumukku, Veiloor, Kerala 695302",,03/10/2021,/e0029538-594c-4c86-b451-d4b8994a4fc4/e069829a66e7404a8443dbd541d4237b.jpg,8.6123263,76.8341088,30/09/2021,species,Euthalia aconthea Cramer 1779,Common Baron:English,KERALA,Thiruvananthapuram,September
16948132,sruthy krishnan G,"Murukkumpuzha Junction, Thoppumukku, Veiloor, Kerala 695302",Duplicate:https://indiabiodiversity.org/observation/show/16948149,03/10/2021,/5942923b-c442-44cb-be7a-13ed3da75536/584c8172be8f4fa98e3d2633c1c75e8a.jpg,8.6123263,76.8341088,30/09/2021,species,Euthalia aconthea Cramer 1779,Common Baron:English,KERALA,Thiruvananthapuram,September
15821282,Najiya S,"Perumkoor MC road Vembayam, Kerala 695615, India",,23/09/2020,/51d21702-f910-4837-84b4-13211a9b162c/27512.jpg,8.6204053,76.9389733,20/09/2020,species,Junonia iphita Cramer 1782,Chocolate Pansy:English,KERALA,Thiruvananthapuram,September
15821187,Najiya S,"Ameya VP/XI 367 Main Center Road Perumkoor, Vembayam, Konchira post, Thiruvananthapuram, Kerala 695615, India",,23/09/2020,/176b0d74-bc57-41a2-8116-3530173aee31/27506.jpg,8.624363083,76.93711847,20/09/2020,species,Eurema hecabe (Linnaeus 1758),Common Grass Yellow:English,KERALA,Thiruvananthapuram,September
16951180,Chief RedEarth,"Anad, Kerala",,04/10/2021,/7b9216e7-a171-46c8-9623-c9130f2b8e96/fef796a6becc4a1abf73637cf8e7869d.JPG,8.6335048,77.0110937,20/09/2021,species,Elymnias caudata Butler 1871,Tailed Palmfly:English,KERALA,Thiruvananthapuram,September
16951068,Chief RedEarth,"Anad, Kerala",,04/10/2021,/3f1eb417-aa6b-4d70-8788-455d6492a7cc/9bcdb4e62cb14070a4a6e68f0a2191fd.jpg,8.6335048,77.0110937,20/09/2021,species,Melanitis phedima Cramer 1782,Dark Evening Brown:English,KERALA,Thiruvananthapuram,September
15590476,Asha Lakshmi,"Chirayinkeezhu, Kerala, India",,15/09/2020,/c12fc79f-3471-4206-be4e-ca22f292547a/19002.jpg,8.6558696,76.7831744,14/09/2020,species,Catopsilia pyranthe (Linnaeus 1758),Mottled Emigrant:English,KERALA,Thiruvananthapuram,September
15590429,Asha Lakshmi,"Chirayinkeezhu, Kerala, India",,15/09/2020,/8775a677-604b-43b6-b62c-27f104ce6ff4/18998.jpg,8.6558696,76.7831744,14/09/2020,species,Graphium agamemnon (Linnaeus 1758),Tailed Green Jay:English,KERALA,Thiruvananthapuram,September
